EventID,Desk,Trader,Book,BuySell,Quantity,BondID,Price,ExclusionType
2,NY,T2078717,NY02,buy,533.0,B35648,,NO_MARKET_PRICE
4,SYD,T8621521,SYD00,buy,555.0,B17266,,NO_MARKET_PRICE
5,LON,T6326422,LON04,buy,125.0,B38589,,NO_MARKET_PRICE
6,NY,T1087795,NY21,buy,531.0,B31538,,NO_MARKET_PRICE
7,HK,T5727593,HK11,buy,467.0,B34105,,NO_MARKET_PRICE
8,LON,T6326422,LON02,sell,703.0,B45918,,NO_MARKET_PRICE
17,NY,T4439875,NY44,sell,646.0,B45918,,NO_MARKET_PRICE
20,NY,T1087795,NY23,sell,681.0,B27558,,NO_MARKET_PRICE
27,TOK,T2697765,TOK02,sell,863.0,B27023,723.0,QUANTITY_OVERLIMIT
29,TOK,T3937126,TOK32,sell,745.0,B08521,,NO_MARKET_PRICE
31,LON,T6326422,LON04,sell,327.0,B35479,10479.75,QUANTITY_OVERLIMIT
36,NY,T1087795,NY20,buy,661.0,B18694,,NO_MARKET_PRICE
37,SYD,T5521536,SYD10,buy,402.0,B44611,,NO_MARKET_PRICE
38,NY,T1087795,NY22,sell,807.0,B02473,,NO_MARKET_PRICE
41,NY,T2078717,NY01,buy,772.0,B23639,,NO_MARKET_PRICE
55,SYD,T8621521,SYD03,buy,308.0,B48886,,NO_MARKET_PRICE
58,TOK,T3121807,TOK24,buy,591.0,B31538,,NO_MARKET_PRICE
61,LON,T6326422,LON04,sell,984.0,B45193,1996.52,QUANTITY_OVERLIMIT
63,SG,T9277645,SG13,buy,398.0,B23639,,NO_MARKET_PRICE
70,LON,T7210244,LON14,sell,614.0,B48886,,NO_MARKET_PRICE
74,LON,T7210244,LON14,sell,353.0,B45918,,NO_MARKET_PRICE
76,LON,T2121033,LON21,buy,678.0,B17266,,NO_MARKET_PRICE
77,SG,T5983248,SG02,sell,284.0,B47982,735.9,QUANTITY_OVERLIMIT
80,SG,T5983248,SG02,sell,141.0,B44611,,NO_MARKET_PRICE
81,SYD,T8621521,SYD03,sell,239.0,B04712,896.0,QUANTITY_OVERLIMIT
85,NY,T7375392,NY10,sell,434.0,B38589,,NO_MARKET_PRICE
86,NY,T4848015,NY34,sell,263.0,B16316,,NO_MARKET_PRICE
95,SYD,T5521536,SYD11,sell,315.0,B34105,,NO_MARKET_PRICE
97,NY,T7375392,NY10,buy,583.0,B17901,,NO_MARKET_PRICE
98,HK,T3179669,HK32,buy,475.0,B44611,,NO_MARKET_PRICE
99,TOK,T2697765,TOK00,buy,556.0,B08521,,NO_MARKET_PRICE
103,TOK,T3937126,TOK31,buy,164.0,B17266,,NO_MARKET_PRICE
109,SG,T5983248,SG00,buy,655.0,B03283,,NO_MARKET_PRICE
111,SG,T5983248,SG05,buy,220.0,B45918,,NO_MARKET_PRICE
114,TOK,T2697765,TOK04,buy,375.0,B45918,,NO_MARKET_PRICE
120,SG,T9277645,SG12,sell,813.0,B44611,,NO_MARKET_PRICE
123,SYD,T8621521,SYD00,sell,623.0,B25841,9982.71,QUANTITY_OVERLIMIT
128,LON,T6326422,LON03,sell,854.0,B25841,9982.71,QUANTITY_OVERLIMIT
130,HK,T3179669,HK33,buy,877.0,B45918,,NO_MARKET_PRICE
131,HK,T6189452,HK23,buy,917.0,B45214,,NO_MARKET_PRICE
132,SG,T5983248,SG04,sell,249.0,B05609,142664.0,QUANTITY_OVERLIMIT
137,LON,T6326422,LON02,sell,246.0,B10340,9476.14,QUANTITY_OVERLIMIT
138,NY,T4848015,NY34,sell,728.0,B47982,729.35,QUANTITY_OVERLIMIT
140,NY,T4439875,NY42,sell,959.0,B28917,1281.68,QUANTITY_OVERLIMIT
141,LON,T2121033,LON20,sell,942.0,B35479,6124.8,QUANTITY_OVERLIMIT
145,SG,T9564084,SG23,sell,478.0,B11094,,NO_MARKET_PRICE
147,HK,T6189452,HK22,sell,443.0,B27023,723.0,QUANTITY_OVERLIMIT
148,HK,T6189452,HK23,sell,894.0,B35648,107142.0,QUANTITY_OVERLIMIT
149,SYD,T8621521,SYD02,sell,171.0,B48886,,NO_MARKET_PRICE
151,TOK,T3937126,TOK32,sell,266.0,B47982,729.35,QUANTITY_OVERLIMIT
153,HK,T3800229,HK00,buy,407.0,B31538,,NO_MARKET_PRICE
154,TOK,T3121807,TOK25,buy,908.0,B44611,,NO_MARKET_PRICE
158,SYD,T5521536,SYD13,sell,208.0,B17901,,NO_MARKET_PRICE
168,SYD,T5521536,SYD13,sell,381.0,B27558,5918.2,QUANTITY_OVERLIMIT
169,NY,T4848015,NY31,sell,473.0,B05609,142664.0,QUANTITY_OVERLIMIT
172,LON,T6326422,LON03,sell,650.0,B35479,6124.8,QUANTITY_OVERLIMIT
179,NY,T4848015,NY33,sell,218.0,B02473,6068.16,QUANTITY_OVERLIMIT
181,TOK,T9108891,TOK10,sell,786.0,B04712,896.0,QUANTITY_OVERLIMIT
190,NY,T4848015,NY33,sell,844.0,B25841,9982.71,QUANTITY_OVERLIMIT
200,NY,T4848015,NY31,sell,496.0,B31538,,NO_MARKET_PRICE
203,LON,T6326422,LON03,sell,752.0,B11094,,NO_MARKET_PRICE
206,TOK,T3121807,TOK23,sell,142.0,B17266,,NO_MARKET_PRICE
212,LON,T6326422,LON04,sell,890.0,B18694,1511.51,QUANTITY_OVERLIMIT
213,NY,T2078717,NY00,sell,298.0,B02473,6068.16,QUANTITY_OVERLIMIT
214,NY,T1087795,NY21,sell,969.0,B11094,,NO_MARKET_PRICE
215,SG,T9564084,SG20,buy,641.0,B48886,,NO_MARKET_PRICE
220,HK,T3179669,HK30,sell,420.0,B28659,170940.0,QUANTITY_OVERLIMIT
229,TOK,T3121807,TOK24,sell,156.0,B11094,,NO_MARKET_PRICE
232,HK,T3179669,HK31,sell,329.0,B03283,2243.86,QUANTITY_OVERLIMIT
233,TOK,T3121807,TOK25,sell,654.0,B31538,849.66,QUANTITY_OVERLIMIT
234,TOK,T3937126,TOK32,sell,591.0,B35648,193033.0,QUANTITY_OVERLIMIT
236,HK,T5727593,HK13,sell,132.0,B45918,8242.56,QUANTITY_OVERLIMIT
240,LON,T6326422,LON02,sell,980.0,B17901,825.03,QUANTITY_OVERLIMIT
241,SYD,T5521536,SYD13,sell,936.0,B27023,723.0,QUANTITY_OVERLIMIT
245,HK,T5727593,HK14,sell,684.0,B27558,5918.2,QUANTITY_OVERLIMIT
256,HK,T3179669,HK33,sell,902.0,B08521,7962.9,QUANTITY_OVERLIMIT
258,HK,T6189452,HK22,sell,491.0,B03283,1188.27,QUANTITY_OVERLIMIT
260,TOK,T2697765,TOK00,sell,354.0,B38589,,NO_MARKET_PRICE
281,SG,T9564084,SG20,sell,760.0,B28659,170940.0,QUANTITY_OVERLIMIT
288,TOK,T3937126,TOK33,sell,342.0,B18694,1511.51,QUANTITY_OVERLIMIT
293,HK,T3800229,HK04,buy,601.0,B11094,,NO_MARKET_PRICE
295,SG,T9277645,SG12,buy,611.0,B23639,,NO_MARKET_PRICE
296,NY,T1087795,NY21,buy,806.0,B11094,,NO_MARKET_PRICE
298,SYD,T5521536,SYD11,sell,372.0,B31538,1610.0,QUANTITY_OVERLIMIT
300,SG,T5983248,SG02,sell,692.0,B31214,504.0,QUANTITY_OVERLIMIT
304,SG,T9564084,SG20,sell,338.0,B16316,1159.0,QUANTITY_OVERLIMIT
317,LON,T6326422,LON01,sell,285.0,B01774,1726.56,QUANTITY_OVERLIMIT
328,HK,T6189452,HK23,sell,828.0,B45918,9596.88,QUANTITY_OVERLIMIT
332,SYD,T8621521,SYD02,sell,393.0,B23639,,NO_MARKET_PRICE
336,SG,T9277645,SG13,sell,786.0,B35479,9157.98,QUANTITY_OVERLIMIT
339,LON,T7210244,LON10,sell,439.0,B02473,6112.99,QUANTITY_OVERLIMIT
345,NY,T4848015,NY33,sell,995.0,B27558,5918.2,QUANTITY_OVERLIMIT
349,LON,T2121033,LON22,sell,382.0,B05609,142664.0,QUANTITY_OVERLIMIT
350,HK,T5727593,HK10,sell,604.0,B48886,8663.94,QUANTITY_OVERLIMIT
352,SG,T9564084,SG20,sell,119.0,B45193,2531.69,QUANTITY_OVERLIMIT
359,LON,T7210244,LON14,sell,465.0,B45193,2531.69,QUANTITY_OVERLIMIT
361,SYD,T8621521,SYD00,sell,656.0,B17901,1564.5,QUANTITY_OVERLIMIT
377,HK,T5727593,HK13,sell,801.0,B28659,70242.0,QUANTITY_OVERLIMIT
400,HK,T6189452,HK20,sell,452.0,B45214,188760.0,QUANTITY_OVERLIMIT
401,TOK,T3937126,TOK30,sell,318.0,B05609,181104.0,QUANTITY_OVERLIMIT
402,NY,T4439875,NY40,sell,647.0,B23639,2319.81,QUANTITY_OVERLIMIT
404,NY,T4848015,NY31,sell,420.0,B31214,504.0,QUANTITY_OVERLIMIT
406,SG,T9564084,SG22,sell,101.0,B17901,1564.5,QUANTITY_OVERLIMIT
410,HK,T6189452,HK20,sell,538.0,B04712,673.0,QUANTITY_OVERLIMIT
412,TOK,T3937126,TOK33,sell,178.0,B45214,188760.0,QUANTITY_OVERLIMIT
419,SG,T9564084,SG23,sell,700.0,B28659,70242.0,QUANTITY_OVERLIMIT
425,SG,T9564084,SG22,sell,173.0,B31538,1743.72,QUANTITY_OVERLIMIT
429,NY,T4439875,NY40,sell,325.0,B34105,953.64,QUANTITY_OVERLIMIT
430,HK,T3800229,HK00,sell,894.0,B31538,1743.72,QUANTITY_OVERLIMIT
431,NY,T2078717,NY01,sell,305.0,B08521,9669.0,QUANTITY_OVERLIMIT
434,SG,T9564084,SG23,sell,915.0,B28659,70242.0,QUANTITY_OVERLIMIT
451,SG,T9277645,SG13,sell,981.0,B47982,1731.51,QUANTITY_OVERLIMIT
452,SG,T9564084,SG21,sell,114.0,B44611,718.0,QUANTITY_OVERLIMIT
457,HK,T5727593,HK12,sell,177.0,B27023,723.0,QUANTITY_OVERLIMIT
458,NY,T4848015,NY30,sell,174.0,B05609,129228.0,QUANTITY_OVERLIMIT
464,NY,T4848015,NY30,sell,983.0,B45214,188760.0,QUANTITY_OVERLIMIT
470,LON,T2121033,LON20,sell,694.0,B04712,673.0,QUANTITY_OVERLIMIT
474,SYD,T8621521,SYD00,sell,323.0,B17266,135240.0,QUANTITY_OVERLIMIT
482,SYD,T8621521,SYD01,sell,437.0,B11094,9863.7,QUANTITY_OVERLIMIT
496,TOK,T3937126,TOK31,sell,251.0,B01774,1726.56,QUANTITY_OVERLIMIT
498,TOK,T3121807,TOK22,sell,805.0,B45193,1322.02,QUANTITY_OVERLIMIT
500,NY,T1087795,NY21,sell,771.0,B35648,126852.0,QUANTITY_OVERLIMIT
506,NY,T2078717,NY02,sell,963.0,B28659,70242.0,QUANTITY_OVERLIMIT
514,HK,T6189452,HK22,sell,438.0,B18694,892.32,QUANTITY_OVERLIMIT
524,LON,T2121033,LON24,sell,703.0,B05609,123140.0,QUANTITY_OVERLIMIT
533,TOK,T2697765,TOK03,sell,480.0,B45918,4167.06,QUANTITY_OVERLIMIT
536,TOK,T3121807,TOK23,sell,468.0,B01774,1726.56,QUANTITY_OVERLIMIT
542,SG,T9277645,SG12,sell,616.0,B05609,171248.0,QUANTITY_OVERLIMIT
548,NY,T7375392,NY12,sell,970.0,B18694,892.32,QUANTITY_OVERLIMIT
549,TOK,T3121807,TOK22,sell,726.0,B47982,1731.51,QUANTITY_OVERLIMIT
551,TOK,T3121807,TOK24,sell,218.0,B48886,6856.08,QUANTITY_OVERLIMIT
577,NY,T4439875,NY42,sell,376.0,B35479,9257.68,QUANTITY_OVERLIMIT
580,NY,T4848015,NY34,sell,755.0,B03283,2060.44,QUANTITY_OVERLIMIT
581,TOK,T3937126,TOK31,sell,459.0,B16316,1415.0,QUANTITY_OVERLIMIT
582,LON,T2121033,LON22,sell,404.0,B35479,9257.68,QUANTITY_OVERLIMIT
584,LON,T6326422,LON01,sell,648.0,B01774,1681.68,QUANTITY_OVERLIMIT
589,SG,T5983248,SG00,sell,860.0,B01774,1681.68,QUANTITY_OVERLIMIT
610,SG,T5983248,SG00,sell,558.0,B08521,8659.56,QUANTITY_OVERLIMIT
611,TOK,T3121807,TOK22,sell,711.0,B18694,1032.0,QUANTITY_OVERLIMIT
619,TOK,T3121807,TOK25,sell,750.0,B25841,8025.6,QUANTITY_OVERLIMIT
621,HK,T6189452,HK22,sell,106.0,B27023,723.0,QUANTITY_OVERLIMIT
622,LON,T7210244,LON11,sell,174.0,B16316,517.0,QUANTITY_OVERLIMIT
641,SG,T9564084,SG21,sell,699.0,B31214,1320.0,QUANTITY_OVERLIMIT
648,SG,T9277645,SG14,sell,217.0,B31214,1320.0,QUANTITY_OVERLIMIT
659,SG,T5983248,SG00,sell,786.0,B08521,8515.0,QUANTITY_OVERLIMIT
668,LON,T6326422,LON04,sell,352.0,B17901,1564.5,QUANTITY_OVERLIMIT
675,HK,T6189452,HK20,sell,965.0,B47982,882.36,QUANTITY_OVERLIMIT
684,HK,T3179669,HK31,sell,265.0,B38589,7986.86,QUANTITY_OVERLIMIT
685,SG,T9564084,SG20,sell,354.0,B48886,9333.32,QUANTITY_OVERLIMIT
695,SG,T5983248,SG04,sell,377.0,B03283,2060.44,QUANTITY_OVERLIMIT
699,SG,T9564084,SG22,sell,247.0,B16316,851.0,QUANTITY_OVERLIMIT
702,NY,T4439875,NY41,sell,456.0,B25841,8025.6,QUANTITY_OVERLIMIT
715,SG,T5983248,SG05,sell,773.0,B08521,8768.26,QUANTITY_OVERLIMIT
718,SG,T5983248,SG03,sell,542.0,B47982,1536.15,QUANTITY_OVERLIMIT
721,TOK,T2697765,TOK00,sell,996.0,B28917,1393.91,QUANTITY_OVERLIMIT
722,HK,T5727593,HK10,sell,608.0,B17901,1423.8,QUANTITY_OVERLIMIT
727,TOK,T3121807,TOK25,sell,275.0,B05609,131537.0,QUANTITY_OVERLIMIT
736,NY,T4439875,NY42,sell,904.0,B34105,2080.79,QUANTITY_OVERLIMIT
741,NY,T2078717,NY03,sell,285.0,B08521,8768.26,QUANTITY_OVERLIMIT
743,HK,T6189452,HK20,sell,897.0,B17901,1423.8,QUANTITY_OVERLIMIT
756,SG,T5983248,SG02,sell,457.0,B02473,7074.12,QUANTITY_OVERLIMIT
758,TOK,T3937126,TOK32,sell,223.0,B04712,1169.0,QUANTITY_OVERLIMIT
760,HK,T3179669,HK31,sell,310.0,B10340,7815.41,QUANTITY_OVERLIMIT
770,HK,T3800229,HK04,sell,243.0,B35479,6311.58,QUANTITY_OVERLIMIT
777,NY,T2078717,NY03,sell,156.0,B35479,6311.58,QUANTITY_OVERLIMIT
782,HK,T3800229,HK04,sell,617.0,B27558,4494.0,QUANTITY_OVERLIMIT
784,HK,T5727593,HK10,sell,151.0,B04712,1169.0,QUANTITY_OVERLIMIT
785,LON,T6326422,LON03,sell,305.0,B31214,1144.0,QUANTITY_OVERLIMIT
790,LON,T2121033,LON23,sell,954.0,B18694,2453.54,QUANTITY_OVERLIMIT
791,HK,T5727593,HK12,sell,183.0,B27558,4494.0,QUANTITY_OVERLIMIT
792,SG,T9564084,SG21,sell,562.0,B45918,4467.76,QUANTITY_OVERLIMIT
805,NY,T4439875,NY44,sell,729.0,B28917,1393.91,QUANTITY_OVERLIMIT
813,NY,T2078717,NY01,sell,243.0,B03283,997.16,QUANTITY_OVERLIMIT
815,SG,T5983248,SG04,sell,404.0,B17266,173432.0,QUANTITY_OVERLIMIT
817,TOK,T9108891,TOK10,sell,398.0,B47982,2425.9,QUANTITY_OVERLIMIT
818,HK,T3179669,HK32,sell,795.0,B05609,131537.0,QUANTITY_OVERLIMIT
821,NY,T4848015,NY33,sell,172.0,B34105,2080.79,QUANTITY_OVERLIMIT
825,NY,T4848015,NY34,sell,201.0,B17901,2180.52,QUANTITY_OVERLIMIT
828,NY,T7375392,NY13,sell,123.0,B10340,7435.56,QUANTITY_OVERLIMIT
837,NY,T1087795,NY23,sell,367.0,B27558,4494.0,QUANTITY_OVERLIMIT
839,NY,T1087795,NY22,sell,161.0,B05609,131537.0,QUANTITY_OVERLIMIT
843,HK,T3800229,HK03,sell,699.0,B11094,8970.39,QUANTITY_OVERLIMIT
849,NY,T4439875,NY43,sell,837.0,B45193,1563.54,QUANTITY_OVERLIMIT
852,NY,T4848015,NY31,sell,402.0,B25841,4186.16,QUANTITY_OVERLIMIT
854,SG,T9277645,SG11,sell,123.0,B10340,7435.56,QUANTITY_OVERLIMIT
862,NY,T2078717,NY03,sell,849.0,B17266,69692.0,QUANTITY_OVERLIMIT
872,LON,T6326422,LON03,sell,561.0,B34105,1027.54,QUANTITY_OVERLIMIT
877,TOK,T3937126,TOK33,sell,547.0,B04712,1169.0,QUANTITY_OVERLIMIT
880,LON,T6326422,LON04,sell,726.0,B28917,1393.91,QUANTITY_OVERLIMIT
891,NY,T4439875,NY40,sell,896.0,B45214,153039.0,QUANTITY_OVERLIMIT
919,SYD,T8621521,SYD02,sell,207.0,B31538,1702.5,QUANTITY_OVERLIMIT
925,SG,T5983248,SG01,sell,253.0,B11094,8113.5,QUANTITY_OVERLIMIT
934,NY,T4848015,NY30,sell,930.0,B11094,8113.5,QUANTITY_OVERLIMIT
935,LON,T6326422,LON00,sell,682.0,B31214,1144.0,QUANTITY_OVERLIMIT
946,TOK,T3121807,TOK24,sell,299.0,B08521,6622.05,QUANTITY_OVERLIMIT
948,LON,T6326422,LON02,sell,861.0,B17266,69160.0,QUANTITY_OVERLIMIT
959,NY,T1087795,NY21,sell,787.0,B35648,126324.0,QUANTITY_OVERLIMIT
969,SG,T9564084,SG20,sell,755.0,B18694,1369.5,QUANTITY_OVERLIMIT
971,TOK,T3121807,TOK24,sell,592.0,B44611,1117.0,QUANTITY_OVERLIMIT
974,HK,T5727593,HK11,sell,744.0,B27023,1417.0,QUANTITY_OVERLIMIT
977,TOK,T9108891,TOK12,sell,542.0,B17266,69160.0,QUANTITY_OVERLIMIT
985,SG,T5983248,SG00,sell,139.0,B45918,3967.2,QUANTITY_OVERLIMIT
991,LON,T2121033,LON23,sell,322.0,B04712,1480.0,QUANTITY_OVERLIMIT
994,NY,T4439875,NY40,sell,420.0,B11094,8113.5,QUANTITY_OVERLIMIT
999,TOK,T9108891,TOK10,sell,339.0,B04712,1480.0,QUANTITY_OVERLIMIT
1009,SYD,T8621521,SYD01,sell,381.0,B03283,1621.2,QUANTITY_OVERLIMIT
1012,LON,T7210244,LON12,sell,426.0,B04712,1094.0,QUANTITY_OVERLIMIT
1021,LON,T2121033,LON20,sell,563.0,B01774,1840.08,QUANTITY_OVERLIMIT
1030,NY,T2078717,NY00,sell,901.0,B28917,1451.8,QUANTITY_OVERLIMIT
1032,LON,T2121033,LON25,sell,761.0,B34105,1535.92,QUANTITY_OVERLIMIT
1037,SYD,T8621521,SYD03,sell,333.0,B45193,1004.64,QUANTITY_OVERLIMIT
1048,SG,T5983248,SG02,sell,561.0,B34105,1535.92,QUANTITY_OVERLIMIT
1054,HK,T3800229,HK01,sell,939.0,B35479,6089.98,QUANTITY_OVERLIMIT
1056,NY,T1087795,NY20,sell,798.0,B35479,6089.98,QUANTITY_OVERLIMIT
1080,LON,T2121033,LON20,sell,352.0,B16316,1036.0,QUANTITY_OVERLIMIT
1086,TOK,T3937126,TOK32,sell,366.0,B18694,1702.74,QUANTITY_OVERLIMIT
1097,SG,T9277645,SG13,sell,737.0,B45214,107065.0,QUANTITY_OVERLIMIT
1100,SG,T9564084,SG22,sell,384.0,B28917,1451.8,QUANTITY_OVERLIMIT
1104,LON,T2121033,LON23,sell,297.0,B10340,9569.0,QUANTITY_OVERLIMIT
1107,NY,T4439875,NY41,sell,781.0,B28659,173837.0,QUANTITY_OVERLIMIT
1109,NY,T7375392,NY11,sell,563.0,B16316,1036.0,QUANTITY_OVERLIMIT
1125,TOK,T9108891,TOK10,sell,562.0,B18694,1317.26,QUANTITY_OVERLIMIT
1129,NY,T2078717,NY03,sell,705.0,B05609,172620.0,QUANTITY_OVERLIMIT
1141,TOK,T2697765,TOK02,sell,290.0,B31538,1956.05,QUANTITY_OVERLIMIT
1143,TOK,T3121807,TOK20,sell,264.0,B25841,8617.5,QUANTITY_OVERLIMIT
1147,LON,T2121033,LON22,sell,261.0,B02473,7531.65,QUANTITY_OVERLIMIT
1148,HK,T3179669,HK32,sell,717.0,B02473,7531.65,QUANTITY_OVERLIMIT
1158,LON,T7210244,LON10,sell,727.0,B16316,1036.0,QUANTITY_OVERLIMIT
1161,NY,T1087795,NY23,sell,143.0,B03283,1170.4,QUANTITY_OVERLIMIT
1162,NY,T4848015,NY35,sell,452.0,B35479,4954.11,QUANTITY_OVERLIMIT
1165,LON,T6326422,LON00,sell,798.0,B48886,8790.0,QUANTITY_OVERLIMIT
1170,NY,T4439875,NY42,sell,127.0,B27023,939.0,QUANTITY_OVERLIMIT
1176,LON,T7210244,LON12,sell,763.0,B45193,2015.86,QUANTITY_OVERLIMIT
1178,NY,T7375392,NY11,sell,278.0,B17901,713.4,QUANTITY_OVERLIMIT
1187,SG,T9564084,SG22,sell,641.0,B34105,1264.87,QUANTITY_OVERLIMIT
1190,TOK,T2697765,TOK03,sell,780.0,B45918,4928.79,QUANTITY_OVERLIMIT
1197,TOK,T9108891,TOK10,sell,639.0,B17901,713.4,QUANTITY_OVERLIMIT
1206,TOK,T3121807,TOK25,sell,177.0,B17901,713.4,QUANTITY_OVERLIMIT
1208,HK,T3179669,HK31,sell,777.0,B48886,6018.15,QUANTITY_OVERLIMIT
1212,SG,T5983248,SG00,sell,201.0,B17266,78207.0,QUANTITY_OVERLIMIT
1214,TOK,T3121807,TOK25,sell,220.0,B27558,10203.36,QUANTITY_OVERLIMIT
1217,SG,T9277645,SG12,sell,430.0,B44611,1253.0,QUANTITY_OVERLIMIT
1235,HK,T3179669,HK32,sell,112.0,B34105,897.75,QUANTITY_OVERLIMIT
1241,NY,T4439875,NY43,sell,346.0,B23639,1868.8,QUANTITY_OVERLIMIT
1242,HK,T3179669,HK30,sell,435.0,B31214,1281.0,QUANTITY_OVERLIMIT
1246,LON,T2121033,LON20,sell,820.0,B17901,713.4,QUANTITY_OVERLIMIT
1252,SG,T5983248,SG03,sell,551.0,B45193,2015.86,QUANTITY_OVERLIMIT
1253,NY,T1087795,NY21,sell,181.0,B38589,6396.36,QUANTITY_OVERLIMIT
1264,SG,T5983248,SG05,sell,228.0,B47982,1477.12,QUANTITY_OVERLIMIT
1266,HK,T3800229,HK02,sell,871.0,B02473,7735.35,QUANTITY_OVERLIMIT
1273,HK,T6189452,HK23,sell,212.0,B25841,6317.6,QUANTITY_OVERLIMIT
1276,HK,T5727593,HK13,sell,293.0,B45214,152685.0,QUANTITY_OVERLIMIT
1281,NY,T1087795,NY20,sell,571.0,B10340,8792.7,QUANTITY_OVERLIMIT
1291,NY,T2078717,NY01,sell,230.0,B48886,7826.52,QUANTITY_OVERLIMIT
1302,NY,T2078717,NY03,sell,804.0,B35648,122544.0,QUANTITY_OVERLIMIT
1305,LON,T2121033,LON22,sell,272.0,B27558,5939.17,QUANTITY_OVERLIMIT
